title,NER,ingredients
Missy Potatoes,"[""sour cream"", ""black pepper"", ""frozen hash browns"", ""cheese"", ""cream of celery soup"", ""butter"", ""buttery cracker crumbs"", ""salt""]","[""2 lb. pkg. frozen hash browns"", ""thawed"", ""16 oz. carton sour cream"", ""10 3/4 oz. can cream of celery soup"", ""1 c. grated sharp cheese"", ""1/2 c. butter"", ""softened"", ""1 tsp. salt"", ""1 tsp. black pepper"", ""1/2 c. buttery cracker crumbs""]"
Pilaf Rice,"[""onion"", ""parsley"", ""instant rice"", ""beef bouillon"", ""butter"", ""almonds"", ""salt""]","[""1 medium onion"", ""chopped"", ""1/4 c. butter"", ""1 1/2 c. instant rice"", ""1 1/2 c. beef bouillon"", ""1/4 tsp. salt"", ""1/2 c. sliced almonds"", ""2 Tbsp. parsley""]"
Cheddar Baked Potatoes,"[""pepper"", ""cream of mushroom soup"", ""cheddar cheese"", ""paprika"", ""baking potatoes""]","[""1 can cream of mushroom soup"", ""1/2 tsp. paprika"", ""1/2 tsp. pepper"", ""4 medium baking potatoes"", ""cut into 1/4-inch slices"", ""1 c. shredded Cheddar cheese""]"
Super Hash Brown Potato Casserole,"[""sour cream"", ""frozen hash brown potatoes"", ""cheddar cheese"", ""onion"", ""corn flakes"", ""margarine"", ""cream of mushroom""]","[""1 (2 lb.) bag frozen hash brown potatoes"", ""shredded (not diced)"", ""1 c. grated Cheddar cheese"", ""1/2 c. chopped onion"", ""1 pt. sour cream"", ""1 can cream of mushroom or cream of chicken soup"", ""1 stick margarine"", ""melted"", ""2 c. crushed corn flakes""]"
Southern Fried Chicken,"[""egg"", ""black pepper"", ""red pepper"", ""flour"", ""crisco oil"", ""paprika"", ""chicken"", ""salt""]","[""1 (2 1/2 to 3 lb.) chicken"", ""cut up"", ""2 tsp. salt"", ""1 1/2 tsp. black pepper"", ""1 egg plus 2 Tbsp. milk or water"", ""beaten"", ""1 1/2 tsp. red pepper"", ""1 1/2 tsp. paprika"", ""1 1/2 c. flour"", ""2 c. Crisco oil""]"
Border Beans,"[""oregano"", ""salt pork"", ""pinto beans"", ""garlic"", ""salt""]","[""2 lb. Mexican pinto beans"", ""1/2 lb. salt pork"", ""cut in chunks"", ""2 Tbsp. salt"", ""6 pods garlic"", ""2 tsp. oregano or 9 chili pequins""]"
King Casserole,"[""cream of mushroom soup"", ""cheddar cheese"", ""onion"", ""cream of celery soup"", ""doritos"", ""chicken"", ""ro-tel tomatoes""]","[""1 chicken"", ""cooked and deboned"", ""1 pkg. Doritos"", ""1 small onion"", ""1 can cream of celery soup"", ""1 can cream of mushroom soup"", ""1 can Ro-Tel tomatoes and chilies"", ""grated Cheddar cheese""]"
Green Bean Supreme,"[""green beans"", ""onion"", ""mushroom soup""]","[""1 (No. 2) can French-style green beans"", ""1 can mushroom soup"", ""1 can fried onion rings""]"
Bloody Mary,"[""lemon juice"", ""tomato juice"", ""jigger"", ""worcestershire sauce"", ""salt""]","[""2 jiggers tomato juice"", ""1/3 jigger fresh lemon juice"", ""dash of Worcestershire sauce"", ""1 jigger (1 1/2 oz.) vodka"", ""salt and pepper to taste""]"
Low-Fat Chicken In Mushroom Gravy,"[""ground pepper"", ""chicken breasts"", ""mushroom soup""]","[""2 to 4 boneless"", ""skinless chicken breasts"", ""1 (10 1/2 oz.) can Healthy Request mushroom soup"", ""ground pepper""]"
Na-Cho Ordinary Potatoes,"[""potatoes"", ""oleo"", ""cheddar cheese"", ""tortilla chips"", ""salt""]","[""4 to 5 potatoes"", ""peeled and chunked"", ""1/2 Tbsp. oleo"", ""salt and pepper to taste"", ""2 c. shredded Cheddar cheese"", ""divided"", ""2/3 c. crushed tortilla chips""]"
Crabmeat Quiche,"[""pie shell"", ""eggs"", ""swiss cheese"", ""crabmeat"", ""flour"", ""mayonnaise"", ""milk""]","[""1 (9-inch) pie shell (unbaked)"", ""1/2 c. mayonnaise"", ""2 Tbsp. flour"", ""2 eggs"", ""beaten"", ""1/2 c. milk"", ""1 c. crabmeat or 1 (7 1/2 oz.) can crabmeat"", ""drained"", ""1 (8 oz.) pkg. shredded Swiss cheese""]"
Wanda'S Seven Layer Salad,"[""italian dressing"", ""tomatoes"", ""cheddar cheese"", ""onion"", ""beans"", ""fritos""]","[""1 head of lettuce"", ""2 tomatoes"", ""chopped"", ""1 c. Ranch style beans"", ""1 onion"", ""chopped"", ""1 bag Fritos"", ""1 pkg. cheddar cheese"", ""1 bottle creamy Italian dressing""]"
Wendy'S Chili,"[""ground round"", ""oil"", ""cumin"", ""kidney beans"", ""pepper"", ""tomato paste"", ""chili powder"", ""campbell"", ""tomato sauce""]","[""1 Tbsp. oil"", ""1 1/2 lb. ground round"", ""10 oz. can Campbell's French onion soup"", ""1 Tbsp. chili powder"", ""2 tsp. cumin"", ""1/4 tsp. pepper"", ""dash of Tabasco"", ""1 can kidney beans (undrained)"", ""6 oz. can tomato paste"", ""8 oz. can tomato sauce""]"
Minestrone Vegetable Soup,"[""pepper"", ""wesson oil"", ""celery"", ""shell macaroni"", ""garlic powder"", ""mixed vegetables"", ""chicken broth"", ""onions"", ""red kidney beans"", ""tomato sauce""]","[""1 c. chopped onions"", ""1/2 c. sliced celery"", ""2 Tbsp. Wesson oil or olive oil"", ""6 c. chicken broth"", ""1 (15 oz.) can Hunt's tomato sauce"", ""1/2 c. shell macaroni"", ""1/4 tsp. garlic powder"", ""1/8 tsp. pepper"", ""1 (16 oz.) bag mixed vegetables (frozen)"", ""1 (15 oz.) can red kidney beans"", ""drained""]"
Coss Hot Cider,"[""apple cider"", ""lemon juice"", ""cloves"", ""cinnamon"", ""apple juice""]","[""8 c. apple cider"", ""4 c. apple juice"", ""1 Tbsp. lemon juice"", ""1 stick cinnamon"", ""3 cloves""]"
Chicken Salad (For Two),"[""apple"", ""italian dressing"", ""brown sugar"", ""raisins"", ""celery"", ""chicken""]","[""1 (5 oz.) can Swanson's premium chunk chicken"", ""drained"", ""3/4 c. chopped apple"", ""1/2 c. celery"", ""2 Tbsp. raisins"", ""1/3 c. prepared Italian dressing"", ""1 Tbsp. brown sugar""]"
Angel Hair Pasta And Tomato Vinaigrette,"[""vinegar"", ""tomatoes"", ""red pepper"", ""clove garlic"", ""vegetable oil"", ""angel hair pasta"", ""fresh basil"", ""salt""]","[""1/2 lb. angel hair pasta"", ""4 tomatoes"", ""diced"", ""1 clove garlic"", ""minced"", ""2 Tbsp. chopped fresh basil"", ""2 tsp. vegetable oil"", ""1 Tbsp. vinegar"", ""dash of red pepper flakes"", ""salt and pepper to taste""]"
Veal With Rosemary,"[""tomatoes"", ""veal shoulder"", ""water"", ""rosemary"", ""flour"", ""onions"", ""olive oil"", ""salt""]","[""2 lb. veal shoulder"", ""2 medium onions"", ""chopped"", ""1 small can tomatoes"", ""2 Tbsp. flour"", ""1 tsp. chopped rosemary"", ""4 Tbsp. olive oil"", ""1/4 c. water"", ""1 tsp. salt""]"
Velvet Salad,"[""lime"", ""sour cream"", ""pecans"", ""pineapple""]","[""1 small can crushed pineapple"", ""drained"", ""1 small box lime or orange Jell-O"", ""8 oz. sour cream"", ""9 oz. Cool Whip"", ""1 c. chopped pecans"", ""juice from pineapple""]"
Chicken Potato And Cheddar Bake,"[""chicken breasts"", ""potato slices"", ""cheddar cheese"", ""broccoli thawed"", ""salt""]","[""4 boneless skinless chicken breasts"", ""salt and pepper to taste"", ""10 oz chopped broccoli thawed"", ""2 c. cheddar cheese shredded"", ""13 oz pkg frozen unpeeled potato slices""]"
Steamed Cabbage,"[""cabbage"", ""onion"", ""salt""]","[""1 medium cabbage"", ""1 medium onion"", ""salt and pepper to taste""]"
Luscious Lasagna(Low-Fat Without Meat)  ,"[""egg"", ""lasagna noodles"", ""mozzarella cheese"", ""cream cheese"", ""ground light sausage"", ""cottage cheese"", ""garlic"", ""spinach""]","[""lasagna noodles *"", ""your favorite spaghetti sauce"", ""1 large container cottage cheese"", ""3 oz. cream cheese"", ""1 egg"", ""1 c. Mozzarella cheese"", ""garlic salt"", ""1 box spinach"", ""drained (optional)"", ""1 lb. ground light sausage (optional)""]"
Meat Loaf And Gravy,"[""black pepper"", ""onion"", ""tomato sauce"", ""ground meat"", ""bread crumbs"", ""salt""]","[""1 1/2 lb. ground meat"", ""1 c. fresh bread crumbs"", ""1 medium size onion"", ""chopped"", ""1 1/4 tsp. salt"", ""1/4 tsp. black pepper"", ""1/2 can Hunt's tomato sauce""]"
Salted Spiced Walnuts,"[""bag walnut halves"", ""sugar"", ""vanilla extract"", ""ginger"", ""brown sugar"", ""water"", ""walnuts"", ""allspice""]","[""2 tsp. ginger"", ""1/2 tsp. allspice"", ""5 c. water"", ""1 lb. bag walnut halves or pieces"", ""2 c. shelled walnuts"", ""1/2 c. granulated sugar"", ""1/2 c. brown sugar"", ""packed"", ""1/2 c. water"", ""1 tsp. vanilla extract""]"
Teriyaki Marinade Sauce,"[""vinegar"", ""pepper"", ""soy sauce"", ""salad oil"", ""catsup"", ""garlic powder""]","[""1/4 c. salad oil"", ""1/4 c. soy sauce"", ""2 Tbsp. catsup"", ""1 Tbsp. vinegar"", ""1/4 tsp. pepper"", ""1/2 tsp. garlic powder""]"
Cheesies Potatoes,"[""potatoes"", ""flour"", ""parmesan cheese"", ""margarine""]","[""1/4 c. flour"", ""1/2 c. Parmesan cheese"", ""1 stick margarine"", ""6 potatoes""]"
Oyster Sauce Beef And Chinese Peas,"[""sugar"", ""oyster sauce"", ""chinese peas"", ""soy sauce"", ""salad oil"", ""onion"", ""cornstarch"", ""clove garlic"", ""sherry"", ""beef""]","[""1 1/2 lb. beef"", ""thinly sliced"", ""1 Tbsp. cornstarch"", ""1 Tbsp. sugar"", ""1 tsp. soy sauce"", ""2 tsp. sherry"", ""1/4 c. oyster sauce"", ""2 Tbsp. salad oil"", ""1 clove garlic"", ""minced"", ""1/2 c. thinly sliced onion"", ""1 c. Chinese peas""]"
Baked Brie In Phyllo,"[""frozen phyllo"", ""camembert cheese"", ""red"", ""butter"", ""dill weed""]","[""1 small round Brie (can use Camembert cheese)"", ""1/2 lb. frozen phyllo dough (10 to 12 sheets)"", ""thawed"", ""1/2 c. butter"", ""melted"", ""fresh dill weed"", ""red and green grapes"", ""apples"", ""pears (optional)""]"
Honeyed French Green Beans,"[""green beans"", ""honey"", ""worcestershire sauce"", ""bacon""]","[""1 (16 oz.) can French-style green beans"", ""3 Tbsp. honey"", ""1 Tbsp. Worcestershire sauce"", ""3 slices bacon""]"
Rutabaga Magic,"[""sugar"", ""tabasco sauce"", ""onion powder"", ""butter"", ""worcestershire sauce""]","[""1 1/2 c. or 2 lb. rutabaga"", ""peeled and chopped"", ""1 1/2 tsp. Worcestershire sauce"", ""1/4 tsp. onion powder"", ""1/4 c. sugar"", ""3 or 4 drops Tabasco sauce"", ""butter to taste""]"
Ground Beef And Noodle Casserole,"[""sour cream"", ""garlic salt"", ""noodles"", ""cream cheese"", ""sharp cheese"", ""ground beef"", ""cream of tomato soup"", ""salt""]","[""1 lb. ground beef"", ""1/2 tsp. garlic salt"", ""1 can cream of tomato soup"", ""1 c. sour cream"", ""1 (8 oz.) pkg. cream cheese"", ""1 (8 oz.) pkg. cooked noodles"", ""1/2 lb. sharp cheese"", ""salt and pepper to taste""]"
Lazy Housewife Pickles,"[""sugar"", ""green peppers"", ""cucumbers"", ""celery"", ""onions"", ""cider vinegar"", ""salt""]","[""5 c. sliced cucumbers"", ""1/2 c. sliced onions"", ""1/4 c. chopped green peppers"", ""1 c. sugar"", ""1/2 c. cider vinegar"", ""1 Tbsp. salt"", ""1 Tbsp. celery seed""]"
Terry'S Chicken Tetrazzini,"[""oodles"", ""cream of mushroom soup"", ""chicken"", ""grated cheese""]","[""5 pkg. Oodles of Noodles"", ""1 can cream of mushroom soup"", ""1 large can chicken"", ""grated cheese""]"
Stuffed Acorn Squash,"[""unsweetened applesauce"", ""lean pork"", ""curry powder"", ""cinnamon"", ""onion"", ""celery"", ""whole wheat bread"", ""acorn"", ""salt""]","[""1 small acorn squash"", ""6 oz. lean pork"", ""1/4 c. chopped celery"", ""1/4 c. chopped onion"", ""1/4 tsp. salt"", ""1/4 tsp. curry powder"", ""dash of cinnamon"", ""1/2 c. unsweetened applesauce"", ""1 slice cubed whole wheat bread""]"
Mama'S Green Junk(Beulah Thomas)  ,"[""marshmallows"", ""nuts"", ""pistachio pudding"", ""pineapple""]","[""1 (20 oz.) can crushed pineapple with juice"", ""1 (3 1/2 oz.) pistachio pudding"", ""1 c. mini marshmallows"", ""1 (9 oz.) pkg. Cool Whip"", ""1/2 c. nuts""]"
Polynesian Chicken,"[""oil"", ""bamboo shoots"", ""soy sauce"", ""cornstarch"", ""onions"", ""bean sprouts"", ""sherry"", ""chicken"", ""pineapple""]","[""5 lb. chicken"", ""disjointed and cut up"", ""3 large onions"", ""sliced"", ""3 c. bean sprouts"", ""2 c. bamboo shoots"", ""2 c. crushed pineapple"", ""soy sauce to taste"", ""1 c. sherry (optional)"", ""1/2 c. cornstarch"", ""oil (for sauteing)""]"
Hamburger Goulash,"[""salt"", ""hot sauce"", ""garlic salt"", ""onion"", ""pork"", ""ground beef"", ""vegetable oil"", ""tomato sauce""]","[""1 1/2 lb. ground beef"", ""1 Tbsp. vegetable oil"", ""1 large onion"", ""cut up"", ""1 (21 oz.) can pork and beans"", ""1 (8 oz.) can tomato sauce"", ""1/4 tsp. garlic salt"", ""salt and pepper to taste"", ""hot sauce to taste""]"
Sausage Breakfast Casserole,"[""bread"", ""eggs"", ""cheddar cheese"", ""mustard"", ""milk"", ""sausage"", ""salt""]","[""5 slices cubed bread"", ""1 lb. sausage"", ""3/4 c. sharp Cheddar cheese"", ""6 eggs"", ""2 c. milk"", ""1 tsp. salt"", ""1 Tbsp. dry mustard""]"
Lemon Snow Freeze,"[""sugar"", ""lemon juice"", ""graham cracker crumbs"", ""eggs"", ""lemon rind"", ""margarine"", ""coconut"", ""milk""]","[""1 c. graham cracker crumbs"", ""6 Tbsp. sugar"", ""3 Tbsp. melted margarine"", ""1 can Eagle Brand milk"", ""1 Tbsp. grated lemon rind"", ""1/2 c. lemon juice"", ""2 eggs"", ""separated"", ""1 can Baker's Angel Flake coconut""]"
Shipwreck Hot Dish,"[""potatoes"", ""peas"", ""kidney beans"", ""pepper"", ""onion soup"", ""onion"", ""celery"", ""ground chuck"", ""carrots"", ""salt""]","[""1 1/2 lb. ground chuck"", ""1 large onion"", ""salt"", ""pepper"", ""1 c. celery"", ""1 c. carrots"", ""1 c. potatoes"", ""1 can peas"", ""1 can kidney beans"", ""1/2 pkg. Lipton onion soup mix""]"
Harriet'S Chicken Cantonese,"[""oil"", ""cayenne"", ""vinegar"", ""ginger"", ""soy sauce"", ""scallions"", ""sherry"", ""garlic"", ""chicken""]","[""1 lb. cut up chicken"", ""1/4 c. oil"", ""1/2 c. soy sauce"", ""6 Tbsp. dry sherry"", ""2 tsp. vinegar"", ""2 minced scallions"", ""2 large cloves garlic"", ""minced"", ""1/8 tsp. cayenne"", ""2 tsp. ginger""]"
Seven Layer Dinner,"[""potatoes"", ""peas"", ""tomatoes"", ""carrots"", ""onions"", ""rice"", ""ground beef""]","[""2 to 3 sliced potatoes"", ""1 large or 2 small onions"", ""sliced"", ""4 or 5 sliced carrots"", ""1/4 c. raw rice"", ""1 can peas"", ""1 lb. ground beef"", ""browned or 1 1/2 lb. sausage patties"", ""1 can tomatoes or 1 can condensed tomato soup""]"
Betty Roger'S Chicken Casserole,"[""sour cream"", ""cream of mushroom soup"", ""fresh mushrooms"", ""stuffing"", ""butter"", ""chicken""]","[""3 Tbsp. butter"", ""1 pkg. Pepperidge Farm stuffing"", ""8 chicken breast halves or 12 thighs"", ""boned and skinned"", ""2 cans cream of mushroom soup"", ""1 lb. fresh mushrooms"", ""sliced and sauteed"", ""1 c. sour cream""]"
Lemon Whip,"[""lemon juice"", ""crackers"", ""powdered sugar"", ""margarine"", ""frozen lemonade"", ""milk""]","[""60 Ritz crackers (mash fine)"", ""1/2 c. powdered sugar"", ""1 stick melted margarine"", ""1 small can frozen lemonade"", ""12 oz. Cool Whip"", ""1 tsp. lemon juice"", ""1 can Eagle Brand milk""]"
Ham Crescents,"[""sesame seed"", ""crescent dinner rolls"", ""ham"", ""swiss"", ""mustard""]","[""1 (8 oz.) can crescent dinner rolls"", ""4 slices ham (4 x 7-inches)"", ""4 tsp. mustard"", ""1 c. shredded Swiss or Cheddar cheese"", ""2 Tbsp. sesame seed""]"
Shrimp With Vegetables,"[""pepper"", ""heavy cream"", ""leeks"", ""fresh mushrooms"", ""vegetable oil"", ""carrots"", ""white wine"", ""shrimp"", ""chives"", ""mustard"", ""butter"", ""zucchini"", ""salt""]","[""4 Tbsp. butter"", ""8 carrots"", ""peeled and cut into thin strips"", ""2 leeks"", ""washed well and cut into thin strips"", ""3 zucchini"", ""cut into thin strips"", ""1/2 lb. fresh mushrooms"", ""sliced"", ""2 Tbsp. vegetable oil"", ""1 lb. peeled and deveined large shrimp"", ""1/2 tsp. salt"", ""1/4 tsp. pepper"", ""1/2 c. dry white wine"", ""1/2 c. heavy cream"", ""1 1/2 Tbsp. Dijon mustard"", ""1 Tbsp. Pommery or other grainy mustard"", ""2 Tbsp. snipped chives or chopped fresh watercress (optional)""]"
Squash Casserole(Ernestine'S Favorite Recipe)  ,"[""bell pepper"", ""eggs"", ""margarine"", ""cheese"", ""onions""]","[""2 1/2 lb. squash"", ""sliced"", ""1 medium bell pepper"", ""chopped"", ""2/3 c. onions"", ""chopped"", ""1 1/2 lb. cheese"", ""1 or 2 eggs"", ""1 stick margarine"", ""melted""]"
Peach Passion Salad,"[""marshmallows"", ""water"", ""vanilla pudding"", ""o"", ""peaches""]","[""3 c. water"", ""2 small boxes peach Jell-O"", ""1 large box noninstant vanilla pudding"", ""2 c. miniature marshmallows"", ""1 large can sliced peaches""]"
Marinated Pork Chops,"[""vinegar"", ""soy sauce"", ""water"", ""paprika"", ""loin chops"", ""garlic"", ""honey""]","[""1/4 c. water"", ""2 Tbsp. soy sauce"", ""2 Tbsp. honey"", ""1 Tbsp. vinegar"", ""2 tsp. finely chopped garlic"", ""1/2 tsp. paprika"", ""4 to 8 loin chops""]"
Cayenne Chicken,"[""chicken breasts"", ""picante sauce"", ""cayenne pepper"", ""onion"", ""grated cheese"", ""garlic""]","[""6 large chicken breasts"", ""1 large onion"", ""cayenne pepper to taste"", ""garlic powder to taste"", ""2 c. grated cheese"", ""picante sauce (mild)""]"
Hamburger Junk,"[""tomatoes"", ""tomato paste"", ""macaroni"", ""garlic salt"", ""parmesan cheese"", ""onion"", ""water"", ""cheese"", ""hamburger""]","[""1 lb. hamburger"", ""1 (1 lb.) can tomatoes"", ""1 c. water"", ""1 onion"", ""chopped"", ""1 (6 oz.) can tomato paste"", ""1 box macaroni"", ""cooked"", ""garlic salt"", ""oregano"", ""salt and pepper"", ""Parmesan cheese"", ""grated sharp cheese""]"
Jagerschnitzel(Veal In Brown Gravy And Mushrooms)  ,"[""oil"", ""sour cream"", ""bacon"", ""tomato paste"", ""pepper"", ""eggs"", ""mushrooms"", ""water"", ""dry wine"", ""thyme"", ""onions"", ""parsley"", ""paprika"", ""boneless pork"", ""bread crumbs"", ""salt""]","[""1 lb. boneless pork or veal cutlets"", ""2 eggs"", ""beaten"", ""1/2 Cup bread crumbs"", ""oil"", ""2 oz. bacon (diced)"", ""4 oz. onions"", ""chopped"", ""8 oz. mushrooms"", ""sliced"", ""1 Tbsp. tomato paste"", ""1/2 Cup water"", ""1/2 Cup dry wine"", ""dash of thyme"", ""pepper"", ""salt"", ""1/2 tsp. paprika"", ""1 Tbsp. parsley"", ""2 Tbsp. sour cream""]"
"Braised Cabbage, Kielbasa And Spuds","[""potatoes"", ""head green cabbage"", ""kielbasa"", ""chicken broth"", ""mustard""]","[""1 1/2 lb. head green cabbage"", ""4 large potatoes"", ""1 c. chicken broth"", ""1 Tbsp. mustard"", ""1 lb. thickly sliced kielbasa""]"
Tasty Potato Salad,"[""potatoes"", ""black pepper"", ""green peppers"", ""salad dressing"", ""celery"", ""pimentos"", ""red onions"", ""salt""]","[""5 medium potatoes about 1 1/2 pounds"", ""1 cup celery sliced and chopped"", ""1 cup red onions"", ""sliced in rings"", ""1/2 cup chopped green peppers"", ""2 tablespoon chopped pimentos"", ""1/2 teaspoon salt"", ""Dash of black pepper"", ""1/2 cup Kraft low calorie Thousand Island salad dressing""]"
Pat'S Chicken Enchiladas,"[""sour cream"", ""tomatoes"", ""flour tortillas"", ""green chili peppers"", ""cream cheese"", ""shredded monterey jack cheese"", ""ground coriander"", ""chicken"", ""salt""]","[""1 (16 oz.) can tomatoes"", ""1 (4 oz.) can green chili peppers"", ""drained and seeded"", ""1/2 tsp. ground coriander (may use paprika)"", ""1/2 tsp. salt"", ""1 c. sour cream"", ""2 c. chopped"", ""cooked chicken"", ""1 (3 oz.) pkg. soft cream cheese"", ""12 flour tortillas"", ""1 c. shredded Monterey Jack cheese""]"
Forgotten Short Ribs,"[""vinegar"", ""pepper"", ""salt"", ""liquid smoke"", ""short ribs"", ""brown sugar"", ""onions"", ""tomato sauce""]","[""3 to 4 lb. short ribs"", ""1 1/2 tsp. salt"", ""1/2 tsp. pepper"", ""1 can tomato sauce or 1 bottle tomato catsup"", ""1/4 c. brown sugar"", ""2 Tbsp. vinegar"", ""1 Tbsp. minced onions"", ""1 tsp. liquid smoke (if desired)""]"
Black-Bottom Goodies,"[""vinegar"", ""baking powder"", ""sugar"", ""vanilla"", ""egg"", ""water"", ""cream cheese"", ""flour"", ""semi-sweet chocolate mini morsels"", ""cocoa"", ""vegetable oil"", ""salt""]","[""1 1/2 c. flour"", ""1 tsp. baking powder"", ""1/2 tsp. salt"", ""1 c. sugar"", ""1/4 c. cocoa"", ""1 c. water"", ""1/3 c. vegetable oil"", ""1 Tbsp. vinegar"", ""1 Tbsp. vanilla"", ""1 (8 oz.) cream cheese"", ""softened"", ""1 egg"", ""1/2 c. sugar"", ""1/8 tsp. salt"", ""1 (6 oz.) pkg. semi-sweet chocolate mini morsels""]"
Zucchini Slaw,"[""sugar"", ""green onions"", ""dried basil"", ""white vinegar"", ""olive oil"", ""carrot"", ""garlic"", ""zucchini"", ""salt""]","[""2 medium zucchini"", ""shredded (about 3 c.)"", ""1 carrot"", ""shredded"", ""2 green onions"", ""thinly sliced"", ""2 Tbsp. sugar"", ""3 Tbsp. white vinegar"", ""2 Tbsp. olive oil"", ""1 garlic clove"", ""minced"", ""1/2 tsp. salt"", ""1/4 tsp. dried basil"", ""crushed""]"
Onion Pretzel Snacks,"[""snyders sourdough pretzels"", ""butter"", ""onion soup""]","[""1 pkg. Snyders sourdough pretzels"", ""1/2 lb. butter (not margarine)"", ""1 envelope Lipton onion soup mix""]"
Mashed Potato Filling,"[""bread filling"", ""potatoes"", ""eggs"", ""stalks celery"", ""onion"", ""poultry seasoning"", ""milk"", ""garlic"", ""butter"", ""olive oil""]","[""olive oil"", ""1 large onion"", ""2 stalks celery"", ""2 cloves garlic"", ""dash of poultry seasoning"", ""bag of bread filling or cubes"", ""4 or 5 large potatoes"", ""2 beaten eggs"", ""milk"", ""butter""]"
Too Easy Peach Cobbler,"[""egg"", ""sugar"", ""cinnamon"", ""flour"", ""white bread"", ""peaches"", ""butter""]","[""5 to 6 peaches"", ""peeled and sliced"", ""5 slices white bread"", ""crusts removed"", ""1 stick butter"", ""melted"", ""1 1/2 c. sugar"", ""2 Tbsp. flour"", ""1 egg"", ""a little cinnamon""]"
Shrimp Newburg,"[""bell pepper"", ""bay seasoning"", ""onion"", ""celery"", ""flour"", ""parsley"", ""milk"", ""shrimp"", ""butter""]","[""2 lb. shrimp"", ""deveined and cleaned"", ""2 pkg. Knorr Newburg sauce mix"", ""1/2 large bell pepper"", ""chopped fine"", ""1 large onion"", ""chopped fine"", ""1 stalk celery"", ""chopped fine"", ""1 stick butter"", ""4 Tbsp. flour"", ""1 to 1 1/2 qt. milk"", ""1 Tbsp. Old Bay seasoning"", ""parsley""]"
Cordon Bleau,"[""chicken breasts"", ""swiss cheese"", ""thin ham"", ""mushrooms"", ""water"", ""flour"", ""white wine"", ""butter""]","[""3 chicken breasts"", ""skinned"", ""boned and split"", ""6 slices thin ham"", ""6 oz. Swiss cheese"", ""cut into 6 sticks"", ""1/4 c. flour"", ""3 Tbsp. butter"", ""1 (4 oz.) can mushrooms"", ""1/2 c. water"", ""1/3 c. dry white wine"", ""1/4 c. Heinz 57 sauce""]"
Mushrooms With Crabmeat Stuffing,"[""mushroom stems"", ""onion"", ""celery"", ""breadcrumbs"", ""mushroom caps"", ""parsley"", ""white crabmeat"", ""garlic"", ""butter"", ""salt""]","[""100 mushroom caps"", ""1 cup mushroom stems"", ""finely chopped"", ""1 cup onion"", ""finely chopped"", ""1/2 cup butter"", ""1 cup celery"", ""finely chopped"", ""1 1/2 cups breadcrumbs"", ""1/4 cup dried parsley"", ""2 cans (6 1/2 oz) White crabmeat"", ""granulated garlic to taste"", ""salt and pepper to taste""]"
Rosemary Chicken And Mushrooms,"[""low-fat mayonnaise"", ""parmesan cheese"", ""mushrooms"", ""rosemary"", ""chicken breast"", ""onions"", ""white wine"", ""salt""]","[""1 lb. boneless chicken breast"", ""1 tsp. low-fat mayonnaise"", ""salt or garlic salt and lemon pepper to taste"", ""2 onions"", ""chopped"", ""1/2 c. dry white wine or water"", ""1/4 tsp. dried rosemary"", ""1/2 lb. small fresh mushrooms"", ""1/4 c. grated Parmesan cheese""]"
Sue Siegel'S Stew,"[""cream of mushroom soup"", ""white wine"", ""stew meat"", ""onion soup""]","[""2 lb. stew meat"", ""cut into small pieces"", ""2 cans cream of mushroom soup"", ""1/2 pkg. dried onion soup mix"", ""1 can (from soup) dry white wine""]"
Taco Lasagna,"[""sour cream"", ""cottage cheese"", ""picante sauce"", ""flour tortillas"", ""taco seasoning"", ""beans"", ""colby cheese"", ""ground beef""]","[""1 lb. ground beef"", ""1 pkg. taco seasoning"", ""3 c. grated Colby cheese"", ""1 pkg. 6-inch flour tortillas"", ""1 can Mexican beans (not refried)"", ""picante sauce"", ""sour cream"", ""cottage cheese (optional)""]"
Hungarian  Paprikas,"[""shortening"", ""elbow macaroni"", ""red pepper"", ""water"", ""onions"", ""paprika"", ""chicken"", ""salt""]","[""chicken"", ""1 large or 2 medium onions"", ""diced"", ""shortening"", ""1 tsp. red pepper"", ""2 tsp. paprika"", ""salt to taste"", ""elbow macaroni"", ""1 to 1 1/2 quart water""]"
Roasted Potato Salad,"[""bacon"", ""miracle"", ""pepper"", ""green onions"", ""eggs"", ""dill"", ""red potatoes"", ""parsley"", ""dijonnaise"", ""dry mustard"", ""salt""]","[""4 c. quartered"", ""unpeeled small red potatoes"", ""1 c. Miracle Whip"", ""4 slices bacon"", ""2 hard-cooked eggs"", ""1/4 c. sliced green onions"", ""1 tsp. Dijonnaise"", ""1/4 tsp. salt"", ""1/4 tsp. pepper"", ""1/2 tsp. parsley"", ""1/2 tsp. dry mustard"", ""1/2 tsp. dill""]"
"Leek, Potato And Sausage Soup","[""cumin"", ""fresh spinach leaves"", ""salt"", ""caraway seed"", ""leeks"", ""heavy cream"", ""kielbasa"", ""chicken broth"", ""boiling potatoes"", ""unsalted butter""]","[""1/2 tsp. cumin seed"", ""1/2 tsp. caraway seed"", ""White part of 2 medium leeks (about 2 1/2 c.)"", ""2 Tbsp. unsalted butter"", ""4 c. chicken broth"", ""2 boiling potatoes"", ""1/2 lb. Kielbasa"", ""2 Tbsp. heavy cream"", ""1/2 c. thinly sliced fresh spinach leaves"", ""Salt and pepper to taste""]"
