Disease,Best_Foods,Worst_Foods,Best_Nutrition,Worst_Nutrition
Ewing sarcoma of bone,"['cheese', 'eggs']","['chicken broth', 'salt', 'vegetable oil']","['high iron', 'high magnesium']","['high calories', 'low fiber']"
glossopharyngeal nerve paralysis,"['cheese', 'sour cream']","['american cheese', 'lemon pepper', 'refrigerator biscuits']","['high magnesium', 'high protein', 'low carbohydrate']","['high cholesterol', 'low vitamin c']"
pontocerebellar hypoplasia type 2,"['celery', 'onion salt', 'salt']","['crackers', 'vegetable cooking oil']","['high magnesium', 'high protein', 'low total fats']","['low iron', 'low potassium']"
idiopathic peripheral autonomic neuropathy,"['cream of celery soup', 'egg noodles', 'onion soup']","['dish detergent', 'household ammonia', 'rubbing alcohol']","['high calcium', 'high fiber']","['high calories', 'high sodium']"
duodenum cancer,"['chicken broth', 'dried lentils']","['oil', 'vinegar', 'water']","['high iron', 'low calories']","['high carbohydrate', 'high total fats', 'low protein']"
autosomal recessive cutis laxa type IIC,"['lemon juice', 'vanilla wafers']","['cheese', 'tomato sauce']","['high calcium', 'low sodium']","['high calories', 'low iron']"
familial temporal lobe epilepsy 1,"['butter', 'onions', 'potatoes']","['extra virgin olive oil', 'spaghetti']","['high fiber', 'high protein', 'low carbohydrate']","['high total fats', 'low magnesium']"
syphilis,"['onions', 'salt', 'tomatoes']","['ginger', 'onion', 'vegetable oil']","['high iron', 'low calories']","['high carbohydrate', 'low potassium', 'low vitamin c']"
non-syndromic X-linked intellectual disability 92,"['chicken broth', 'eggs', 'mayonnaise']","['frozen hash browns', 'parmesan cheese']","['high fiber', 'high protein']","['high calories', 'low magnesium']"
atopic dermatitis,"['onions', 'taco']","['bread crumbs', 'broccoli']","['high magnesium', 'low cholesterol']","['high calories', 'low calcium']"
Kahrizi syndrome,"['clove garlic', 'regular', 'tomatoes']","['marshmallows', 'nuts']","['high fiber', 'low sodium']","['high total fats', 'low iron', 'low potassium']"
bestrophinopathy,"['flour', 'grape juice', 'margarine']","['oil', 'ramen noodles']","['high fiber', 'low cholesterol']","['high calories', 'low vitamin c']"
immunodeficiency 89,"['beef bouillon', 'water']","['butter', 'tarragon']","['high fiber', 'low calories']","['high cholesterol', 'high sodium', 'low iron']"
otosclerosis 4,"['mozzarella cheese', 'parmesan cheese']","['garlic powder', 'salt', 'worcestershire sauce']","['low carbohydrate', 'low sodium', 'low total fats']","['low calcium', 'low protein']"
Plasmodium vivax malaria,"['margarine', 'onion salt', 'pecans']","['oil', 'onion', 'parsley flakes']","['high protein', 'low carbohydrate', 'low total fats']","['low fiber', 'low iron']"
childhood cerebellar astrocytic neoplasm,"['bread crumbs', 'oregano']","['chicken', 'flour', 'mushrooms']","['high magnesium', 'high potassium']","['high calories', 'high sodium', 'high total fats']"
maturity-onset diabetes of the young type 1,"['frozen broccoli', 'sour cream']","['vegetable oil', 'water']","['high protein', 'high vitamin c', 'low total fats']","['high calories', 'high cholesterol', 'low potassium']"
mu chain disease,"['arborio rice', 'fresh herbs', 'yellow onion']","['head lettuce', 'mayonnaise', 'parmesan cheese']","['high calcium', 'high vitamin c', 'low cholesterol']","['high sodium', 'low magnesium']"
B-cell adult acute lymphocytic leukemia,"['green onions', 'parmesan cheese', 'zucchini']","['flour', 'margarine']","['high potassium', 'low calories', 'low carbohydrate']","['high cholesterol', 'high total fats']"
congenital muscular dystrophy-dystroglycanopathy type A14,"['macaroni', 'onion']","['apples', 'cherry']","['high iron', 'high protein', 'low carbohydrate']","['high total fats', 'low fiber']"
X-linked deafness 3,"['baking powder', 'flour', 'salmon']","['oregano', 'pepper']","['high fiber', 'low total fats']","['low iron', 'low magnesium']"
myeloproliferative neoplasm,"['salt pork', 'split peas', 'tarragon']","['green peppers', 'tomatoes']","['high calcium', 'high potassium']","['low fiber', 'low protein']"
Noonan syndrome,"['green pepper', 'milk']","['milk', 'onions']","['high vitamin c', 'low carbohydrate', 'low cholesterol']","['high total fats', 'low magnesium']"
T-cell adult acute lymphocytic leukemia,"['milk', 'twinkie', 'type']","['mayonnaise', 'papaya', 'salt']","['high calcium', 'high magnesium', 'low cholesterol']","['high sodium', 'low potassium', 'low vitamin c']"
immunodeficiency 102,"['black pepper', 'ham', 'salt']","['english peas', 'mayonnaise', 'salt']","['high iron', 'high potassium']","['high sodium', 'high total fats']"
familial episodic pain syndrome 3,"['pineapple', 'pineapple juice', 'sour cream']","['blue cheese', 'white bread', 'worcestershire sauce']","['high fiber', 'low cholesterol']","['high carbohydrate', 'high sodium', 'low protein']"
solid adenocarcinoma with mucin production,"['green pepper', 'onion']","['salt', 'tomato sauce']","['high calcium', 'low sodium']","['high cholesterol', 'low fiber', 'low magnesium']"
"spondyloepimetaphyseal dysplasia, Missouri type","['margarine', 'n', 'potatoes']","['celery', 'onion', 'salt']","['high calcium', 'high potassium', 'low calories']","['high cholesterol', 'high sodium', 'low iron']"
snail allergy,"['marshmallows', 'nuts', 'sunflower seeds']","['eggs', 'milk', 'thin crackers']","['high magnesium', 'high protein', 'low calories']","['high sodium', 'low calcium', 'low iron']"
"dystonia 37, early-onset with striatal lesions","['fish heads', 'tomatoes']","['margarine', 'potatoes', 'salt']","['high potassium', 'low calories']","['low protein', 'low vitamin c']"
familial chylomicronemia due to inhibition of lipoprotein lipase activity,"['onion', 'parmesan cheese']","['chicken', 'cream of mushroom soup', 'pet milk']","['high iron', 'low sodium', 'low total fats']","['low fiber', 'low magnesium', 'low vitamin c']"
juvenile polyposis syndrome,"['celery', 'tomato juice', 'water']","['garlic', 'red peppers']","['high iron', 'low total fats']","['high calories', 'low magnesium']"
Treacher Collins syndrome 1,"['ground beef', 'spaghetti sauce']","['flour', 'golden mushroom soup', 'sirloin steaks']","['high iron', 'high potassium']","['high total fats', 'low calcium', 'low magnesium']"
dental enamel hypoplasia,"['celery', 'green pepper', 'water']","['carrots', 'kidney beans', 'tomato sauce']","['high calcium', 'high potassium', 'low sodium']","['high calories', 'low fiber', 'low protein']"
heart aneurysm,"['celery', 'cream of mushroom soup']","['brown sugar', 'worcestershire sauce']","['high protein', 'low sodium']","['high calories', 'low calcium', 'low iron']"
protein-losing enteropathy,"['crystals', 'honey', 'some red']","['cottage cheese', 'mixed fruit jello', 'nuts']","['high iron', 'high magnesium', 'high protein']","['high total fats', 'low fiber']"
pulmonary large cell neuroendocrine carcinoma,"['baking potatoes', 'cheddar cheese', 'whipping cream']","['garlic powder', 'soy sauce']","['high fiber', 'low cholesterol']","['high calories', 'high carbohydrate']"
spinocerebellar ataxia type 15,"['onion', 'sugar', 'water']","['eggplant', 'oregano']","['low calories', 'low sodium']","['high cholesterol', 'low vitamin c']"
brachydactyly type A2,"['chuck chop', 'eggs', 'salt']","['boiling water', 'green pepper', 'salt']","['high iron', 'high protein', 'low cholesterol']","['high carbohydrate', 'high sodium']"
Monckeberg arteriosclerosis,"['brown sugar', 'kidney beans', 'tomato paste']","['milk', 'onion', 'rice']","['high calcium', 'low carbohydrate', 'low total fats']","['high sodium', 'low iron', 'low potassium']"
adrenal carcinoma,"['lemon', 'oysters']","['green onions', 'pepper']","['high fiber', 'high iron', 'high protein']","['high carbohydrate', 'high sodium', 'low calcium']"
congenital nongoitrous hypothyroidism 6,"['hot dog buns', 'salt']","['egg noodles', 'ground meat', 'mozzarella cheese']","['high calcium', 'high iron']","['low fiber', 'low potassium', 'low protein']"
autosomal dominant intellectual developmental disorder 57,"['grated cheese', 'peas', 'purple onion']","['green pepper', 'marinade sauce']","['high potassium', 'low calories', 'low cholesterol']","['low fiber', 'low vitamin c']"
congenital myasthenic syndrome 5,"['american cheese', 'parsley']","['cabbage', 'tomato paste']","['high iron', 'high protein', 'low cholesterol']","['high carbohydrate', 'low fiber']"
familial episodic pain syndrome 2,"['canning salt', 'okra', 'vinegar']","['cheddar cheese', 'sugar']","['high calcium', 'high potassium', 'low carbohydrate']","['high calories', 'low magnesium', 'low vitamin c']"
congenital bile acid synthesis defect 1,"['bread crumbs', 'butter', 'water']","['margarine', 'sugar', 'white karo syrup']","['high fiber', 'high iron', 'low calories']","['high cholesterol', 'high sodium', 'low protein']"
multiple personality disorder,"['mushrooms', 'salt']","['bread', 'eggs']","['high magnesium', 'low cholesterol', 'low sodium']","['high calories', 'high carbohydrate']"
immunodeficiency 20,"['olive oil', 'salt']","['pimiento', 'sesame seed', 'swiss cheese']","['low carbohydrate', 'low total fats']","['high cholesterol', 'low fiber', 'low potassium']"
chronic intestinal vascular insufficiency,"['chorizo sausage', 'green pepper']","['bulk sausage', 'eggs', 'milk']","['high calcium', 'high magnesium']","['high calories', 'low iron']"
pompholyx,"['celery', 'green bell pepper']","['egg', 'ground beef', 'rice']","['high iron', 'high magnesium', 'high potassium']","['high cholesterol', 'low vitamin c']"
endothrix infectious disease,"['light brown sugar', 'pecans']","['cloves', 'meat', 'vinegar']","['high iron', 'high magnesium']","['high sodium', 'high total fats', 'low fiber']"
B-lymphoblastic leukemia with MEF2D rearrangement,"['beans', 'chicken breasts', 'green chilies']","['chicken breasts', 'dressing', 'sugar']","['high magnesium', 'high vitamin c']","['high sodium', 'low protein']"
congenital myopathy 10B,"['hot sausage', 'long grain', 'water']","['egg', 'salt']","['high calcium', 'high iron', 'low total fats']","['high calories', 'high carbohydrate', 'low vitamin c']"
red-green color blindness,"['cabbage', 'green pepper', 'radish slices']","['butter', 'garlic powder']","['high potassium', 'high vitamin c', 'low cholesterol']","['high calories', 'high sodium', 'low iron']"
subacute lymphocytic thyroiditis,"['beans', 'jalapeno pepper', 'sweet onion']","['lean ground beef', 'white sugar']","['high calcium', 'low cholesterol']","['high carbohydrate', 'high total fats', 'low protein']"
X-linked Emery-Dreifuss muscular dystrophy 1,"['fresh basil', 'garlic']","['bread crumbs', 'parmesan cheese']","['high fiber', 'high protein']","['high carbohydrate', 'high sodium']"
hyperphosphatemia,"['basil', 'clove garlic', 'onion']","['green pepper', 'saltine crackers', 'sweet pickle']","['high fiber', 'high vitamin c']","['low iron', 'low protein']"
Alzheimer's disease 13,"['frozen lemonade concentrate', 'grapes', 'watermelon balls']","['brown sugar', 'butter', 'vanilla']","['high potassium', 'low total fats']","['high cholesterol', 'low calcium', 'low fiber']"
renal pelvis carcinoma,"['bacon', 'lemon slices']","['black pepper', 'cooking oil', 'tabasco']","['high magnesium', 'low total fats']","['low potassium', 'low protein', 'low vitamin c']"
ocular cancer,"['chives', 'vinegar']","['crackers', 'onion']","['high vitamin c', 'low total fats']","['high calories', 'low fiber', 'low iron']"
Bartter disease type 5,"['ground beef', 'muenster cheese', 'wide noodles']","['onion', 'water']","['high calcium', 'high vitamin c']","['high calories', 'high carbohydrate', 'high sodium']"
anthrax disease,"['celery', 'french dressing', 'onion']","['bouillon cube', 'onion', 'season']","['high iron', 'high protein', 'low cholesterol']","['high calories', 'low fiber']"
brachydactyly-preaxial hallux varus syndrome,"['packet', 'party rye', 'thin cucumber']","['hamburger', 'pepper', 'tomatoes']","['high vitamin c', 'low total fats']","['low calcium', 'low fiber']"
dystonia 9,"['asparagus', 'onions', 'salt']","['chicken livers', 'ground ginger']","['high protein', 'high vitamin c']","['high total fats', 'low calcium', 'low iron']"
ectodermal dysplasia 9,"['hamburg', 'onion', 'pinto beans']","['onion', 'potatoes', 'water']","['high calcium', 'low cholesterol']","['high sodium', 'low fiber']"
paranoid schizophrenia,"['beef cubes', 'carrots', 'onions']","['onions', 'vinegar']","['high fiber', 'high protein', 'low total fats']","['high calories', 'low iron', 'low potassium']"
cerebellar astrocytoma,"['center', 'pepper']","['olives', 'onions', 'yellow hominy']","['high calcium', 'high fiber', 'low calories']","['high total fats', 'low magnesium']"
anal canal carcinoma,"['liquid smoke', 'pepper', 'soy sauce']","['flour', 'parsley']","['high potassium', 'high vitamin c']","['high calories', 'high carbohydrate', 'low magnesium']"
skin glomangioma,"['milk', 'sugar', 'yeast']","['onion', 'parsley']","['high iron', 'high potassium']","['high calories', 'high carbohydrate', 'low vitamin c']"
hypersensitivity vasculitis,"['onion', 'picante sauce', 'pinto beans']","['basil', 'rosemary']","['high calcium', 'high vitamin c', 'low carbohydrate']","['high cholesterol', 'low fiber', 'low protein']"
herpes zoster oticus,"['pepper', 'soy sauce', 'white wine']","['apricot preserves', 'chicken']","['high iron', 'high potassium', 'high protein']","['high total fats', 'low calcium']"
transthyretin amyloidosis,"['broccoli', 'mushrooms', 'pork']","['butter', 'potatoes', 'sour cream']","['high vitamin c', 'low sodium']","['high carbohydrate', 'low calcium', 'low fiber']"
developmental and epileptic encephalopathy 48,"['egg', 'water']","['sour cream', 'sugar']","['high calcium', 'high vitamin c']","['high calories', 'high carbohydrate', 'low potassium']"
hereditary sensory and autonomic neuropathy type 1A,"['apricot preserves', 'round natural gouda cheese']","['eggs', 'salt']","['high iron', 'high magnesium', 'low total fats']","['high calories', 'high cholesterol', 'high sodium']"
congenital stationary night blindness autosomal dominant 1,"['garlic powder', 'parmesan cheese']","['mushroom soup', 'mushrooms', 'rice']","['high protein', 'low carbohydrate', 'low total fats']","['low iron', 'low potassium']"
combined deficiency of vitamin K-dependent clotting factors 2,"['eggs', 'milk']","['cream cheese', 'dijon style mustard']","['high magnesium', 'low calories', 'low cholesterol']","['high carbohydrate', 'high total fats']"
brain stem medulloblastoma,"['onion', 'red potatoes']","['cream of chicken soup', 'onion']","['high magnesium', 'high protein']","['high cholesterol', 'low fiber', 'low vitamin c']"
xanthinuria,"['bell pepper', 'butter', 'zucchini']","['cayenne pepper', 'cheddar cheese', 'eggs']","['high magnesium', 'high vitamin c', 'low total fats']","['high cholesterol', 'high sodium', 'low iron']"
white sponge nevus 2,"['margarine', 'pepper']","['fresh spinach', 'red pepper', 'salt']","['low cholesterol', 'low sodium']","['low fiber', 'low iron']"
lissencephaly,"['butter', 'cheese', 'flour']","['cabbage', 'salt', 'vinegar']","['low carbohydrate', 'low cholesterol']","['high calories', 'high sodium', 'low protein']"
autosomal dominant pseudohypoaldosteronism type 1,"['onion', 'pepper']","['chili powder', 'mango']","['high protein', 'low calories']","['high sodium', 'low calcium']"
mechanical entropion,"['bay leaf', 'flour', 'potatoes']","['garlic', 'ground beef', 'salt']","['high iron', 'low carbohydrate']","['high sodium', 'low vitamin c']"
hepatoid adenocarcinoma,"['garlic', 'pepper']","['butter', 'cream']","['high fiber', 'high protein', 'low total fats']","['high cholesterol', 'low calcium', 'low magnesium']"
female breast carcinoma,"['cheddar cheese', 'green onions', 'tomatoes']","['ground beef', 'salt', 'tomatoes']","['high magnesium', 'high vitamin c']","['high calories', 'high total fats']"
hereditary spastic paraplegia 35,"['cheddar cheese', 'pepper', 'sausage']","['red wine vinegar', 'sour cream']","['high calcium', 'high iron']","['high carbohydrate', 'high cholesterol']"
psychologic dyspareunia,"['bay leaf', 'beer']","['butter', 'flour', 'powdered sugar']","['high fiber', 'high magnesium']","['high total fats', 'low vitamin c']"
vulvar trichoepithelioma,"['fryer', 'ketchup']","['garlic', 'raspberry vinegar']","['high fiber', 'high vitamin c']","['high calories', 'low magnesium']"
mucopolysaccharidosis,"['avocado', 'italian salad dressing']","['lemon juice', 'sugar']","['low carbohydrate', 'low total fats']","['high cholesterol', 'high sodium']"
pleural empyema,"['coffee', 'whipped cream']","['paprika', 'shelled shrimp']","['high calcium', 'low cholesterol', 'low total fats']","['high calories', 'low potassium']"
amino acid metabolic disorder,"['flour', 'salt']","['carrot', 'velveeta cheese', 'water']","['high potassium', 'high protein', 'low carbohydrate']","['high total fats', 'low vitamin c']"
petrositis,"['salad oil', 'salt', 'vinegar']","['ground beef', 'milk', 'onion']","['high fiber', 'high protein', 'low sodium']","['high cholesterol', 'low iron', 'low potassium']"
lactose intolerance,"['potatoes', 'water']","['cabbage', 'lemon gelatin', 'tomato sauce']","['high iron', 'high protein', 'low cholesterol']","['low calcium', 'low fiber', 'low potassium']"
synchronous bilateral breast carcinoma,"['tomatoes', 'water']","['black pepper', 'vinegar']","['low calories', 'low total fats']","['low calcium', 'low fiber', 'low magnesium']"
psammomatous meningioma,"['corn', 'water']","['eggs', 'onion']","['high iron', 'high potassium', 'high vitamin c']","['low fiber', 'low protein']"
lymph node benign neoplasm,"['macaroni', 'salt', 'white onion']","['butter', 'tomato paste']","['high magnesium', 'high vitamin c']","['low calcium', 'low fiber', 'low potassium']"
Huntington's disease,"['beef', 'salt']","['boneless beef', 'carrots', 'whole kernel corn']","['high magnesium', 'high vitamin c']","['high calories', 'low calcium', 'low fiber']"
autosomal recessive intellectual developmental disorder 9/26,"['light karo syrup', 'rice krispies']","['chicken stuffing mix', 'yellow squash']","['high magnesium', 'low carbohydrate']","['low potassium', 'low vitamin c']"
superior vena cava angiosarcoma,"['chicken broth', 'cream of chicken soup']","['cooking sherry', 'fresh shrimp', 'sesame seed oil']","['high iron', 'high magnesium', 'low total fats']","['high carbohydrate', 'low fiber', 'low potassium']"
autosomal recessive intellectual developmental disorder 7,"['eggs', 'milk']","['butter', 'graham crackers', 'sugar']","['high iron', 'high magnesium']","['high calories', 'high cholesterol', 'low potassium']"
cortisone reductase deficiency 2,"['butter', 'tomatoes']","['onion', 'roast']","['high calcium', 'low sodium']","['high cholesterol', 'low iron']"
cervical adenoid cystic carcinoma,"['butter', 'crackers']","['green onion', 'lean ground beef', 'onion']","['high iron', 'high potassium', 'low calories']","['high carbohydrate', 'low magnesium']"
mediastinal malignant lymphoma,"['butter', 'salt', 'sherry']","['heavy cream', 'lemon juice', 'sugar']","['low carbohydrate', 'low cholesterol', 'low sodium']","['high calories', 'low calcium', 'low protein']"
amnestic disorder,"['cereal', 'lean ground beef', 'tomato']","['cheddar cheese', 'onion']","['high calcium', 'high protein', 'low sodium']","['high calories', 'low magnesium', 'low potassium']"
pre-eclampsia,"['green pepper', 'pepper', 'rice']","['cheddar cheese', 'onion soup']","['high calcium', 'high fiber', 'high magnesium']","['high calories', 'low potassium', 'low vitamin c']"
mucinous intrahepatic cholangiocarcinoma,"['almonds', 'celery', 'turkey']","['salt', 'shad']","['high fiber', 'high protein', 'low carbohydrate']","['high cholesterol', 'low magnesium']"
factor XIII deficiency,"['double-acting baking powder', 'egg']","['cranberries', 'red grapes']","['high magnesium', 'low carbohydrate', 'low sodium']","['high cholesterol', 'low protein']"
angiomatous meningioma,"['garlic', 'mozzarella cheese', 'yellow rice']","['garlic', 'tomatoes']","['high potassium', 'high vitamin c', 'low sodium']","['high cholesterol', 'low protein']"
combined oxidative phosphorylation deficiency 30,"['lemon juice', 'mayonnaise', 'salt']","['cinnamon', 'loose-leaf black tea', 'vanilla']","['high fiber', 'high potassium', 'low calories']","['low iron', 'low magnesium', 'low vitamin c']"
"microcephaly, seizures, and developmental delay","['butter', 'wild rice', 'young pheasants']","['chicken broth', 'lemon juice']","['high calcium', 'high vitamin c']","['high calories', 'high sodium', 'low protein']"
ovarian serous cystadenofibroma,"['cauliflower', 'radishes']","['chicken', 'cream of chicken soup', 'egg']","['high calcium', 'low sodium']","['high cholesterol', 'low fiber', 'low magnesium']"
non-Hodgkin lymphoma,"['cheese', 'frozen broccoli']","['green garden leaves', 'shredded coconut', 'unflavored gelatin']","['high calcium', 'high potassium', 'high vitamin c']","['high sodium', 'low protein']"
Aland Island eye disease,"['crabmeat', 'light cream', 'tomato bisque']","['butter', 'salt']","['high calcium', 'low carbohydrate']","['high calories', 'low fiber', 'low protein']"
Borrelia miyamotoi disease,"['clove garlic', 'lemon']","['butterscotch chips', 'peanut butter', 'semi-sweet chocolate chips']","['high fiber', 'high protein', 'low total fats']","['high cholesterol', 'low iron']"
uterine corpus endometrial carcinoma,"['sugar', 'water']","['stalks celery', 'tomato']","['high calcium', 'low sodium']","['high carbohydrate', 'high total fats']"
acute lymphoblastic leukemia,"['celery', 'onion', 'parsley']","['cranberries', 'o', 'pineapple']","['high potassium', 'low sodium']","['high carbohydrate', 'low fiber', 'low protein']"
Joubert syndrome 4,"['garlic powder', 'salad dressing']","['olive oil', 'red potato', 'tomatoes']","['low calories', 'low sodium']","['low calcium', 'low vitamin c']"
melioidosis,"['dressing', 'nacho cheese chips']","['butter', 'eggs', 'nutmeg']","['high potassium', 'high protein', 'low sodium']","['high carbohydrate', 'low calcium']"
round cell sarcoma with EWSR1-PATZ1 gene fusion,"['green beans', 'mushroom soup', 'onion']","['onion', 'peas', 'potato']","['low calories', 'low cholesterol', 'low total fats']","['low calcium', 'low iron', 'low magnesium']"
amyotrophic lateral sclerosis type 28,"['beef chuck', 'fresh pepper', 'water']","['noodles', 'parmesan cheese', 'water']","['high potassium', 'low calories', 'low carbohydrate']","['high sodium', 'high total fats']"
scirrhous adenocarcinoma,"['cornstarch', 'onion', 'tomatoes']","['ketchup', 'onion']","['high magnesium', 'high potassium', 'low carbohydrate']","['high total fats', 'low fiber']"
congenital myasthenic syndrome 8,"['frozen peas', 'head lettuce', 'pepper']","['ginger', 'soy sauce']","['high calcium', 'high fiber', 'high magnesium']","['high sodium', 'low protein']"
Temtamy syndrome,"['cranberries', 'orange juice', 'salt']","['oil', 'soy sauce']","['high iron', 'low calories']","['low potassium', 'low protein']"
multiple sclerosis,"['rye bread', 'swiss cheese']","['green peppers', 'red peppers']","['high fiber', 'low cholesterol', 'low sodium']","['low calcium', 'low magnesium']"
persistent Mullerian duct syndrome,"['eggs', 'oregano']","['frozen peas', 'salt', 'water chestnuts']","['high fiber', 'high potassium', 'high protein']","['low calcium', 'low iron', 'low magnesium']"
familial hyperinsulinemic hypoglycemia 7,"['bell pepper', 'onion']","['parley flakes', 'potatoes']","['high iron', 'low total fats']","['low fiber', 'low vitamin c']"
inflammatory bowel disease 28,"['oyster sauce', 'salad oil']","['bacon', 'peppers', 'picante sauce']","['high fiber', 'high iron', 'low calories']","['high total fats', 'low magnesium']"
metabolic dysfunction-associated steatotic liver disease,"['corn', 'sugar']","['ground light sausage', 'mozzarella cheese']","['high fiber', 'low cholesterol']","['high carbohydrate', 'high sodium', 'low magnesium']"
ovarian cystadenocarcinoma,"['green pepper', 'onion']","['peas', 'sharp cheese']","['high calcium', 'high fiber']","['low iron', 'low potassium']"
ectothrix infectious disease,"['bay leaf', 'bread crumbs', 'green pepper']","['garlic', 'pepper']","['high potassium', 'low cholesterol']","['high calories', 'high sodium', 'low protein']"
developmental and epileptic encephalopathy 88,"['coarse', 'paprika']","['beef', 'onion soup']","['high calcium', 'high potassium', 'low total fats']","['high carbohydrate', 'high cholesterol', 'low iron']"
Loeffler syndrome,"['crackers', 'cream of celery soup', 'turkey']","['flour tortillas', 'green chilies', 'salsa']","['high iron', 'low carbohydrate']","['high cholesterol', 'high sodium']"
idiopathic CD4-positive T-lymphocytopenia,"['cream of mushroom soup', 'salt']","['mayonnaise', 'pimentos', 'salt']","['high calcium', 'high vitamin c', 'low carbohydrate']","['high calories', 'high sodium']"
pontocerebellar hypoplasia type 9,"['curry powder', 'pineapple', 'raisins']","['kidney', 'pepper sauce', 'salt']","['high fiber', 'high iron']","['high cholesterol', 'high total fats', 'low vitamin c']"
"mixed phenotype acute leukemia, T/myeloid","['bread crumbs', 'salt']","['caesar croutons', 'parmesan cheese', 'salt']","['high vitamin c', 'low sodium', 'low total fats']","['high cholesterol', 'low magnesium']"
"chromosome 22q11.2 deletion syndrome, distal","['cottage cheese', 'mayonnaise']","['chicken', 'garlic', 'ginger']","['high protein', 'low sodium']","['low potassium', 'low vitamin c']"
autosomal dominant nocturnal frontal lobe epilepsy 3,"['apple juice', 'onions', 'pimento']","['onions', 'potatoes', 'salt']","['high fiber', 'low cholesterol', 'low sodium']","['low iron', 'low potassium']"
histoplasmosis,"['green onion', 'mayonnaise']","['green peppers', 'mustard', 'radishes']","['high magnesium', 'high potassium', 'low carbohydrate']","['high calories', 'high sodium', 'low iron']"
cranial nerve malignant neoplasm,"['bulk sausage', 'fresh mushrooms']","['butter', 'milk']","['high vitamin c', 'low sodium']","['high cholesterol', 'low fiber', 'low iron']"
hemoglobin C disease,"['onion', 'pepper', 'tomatoes']","['biscuit crumbs', 'margarine', 'turkey']","['high fiber', 'low cholesterol', 'low total fats']","['high sodium', 'low iron', 'low potassium']"
semantic agnosia,"['salt', 'water', 'whole kernel corn']","['cornstarch', 'sugar']","['high calcium', 'high iron', 'high potassium']","['high carbohydrate', 'high total fats']"
autosomal recessive nonsyndromic deafness 83,"['chicken', 'corn tortillas', 'onions']","['milk', 'sugar', 'vanilla']","['high iron', 'low cholesterol', 'low total fats']","['high sodium', 'low potassium', 'low protein']"
fat necrosis of breast,"['marshmallows', 'milk', 'pineapple']","['cloves', 'garlic salt', 'ground pork']","['high fiber', 'high magnesium']","['high carbohydrate', 'high cholesterol', 'low protein']"
prostate leiomyoma,"['butter', 'pet milk', 'salt']","['flour', 'lard']","['low calories', 'low carbohydrate']","['high cholesterol', 'low calcium']"
autoimmune disease of peripheral nervous system,"['fresh pea pods', 'garlic', 'sherry']","['bread crumbs', 'salt']","['low cholesterol', 'low total fats']","['high carbohydrate', 'low vitamin c']"
spinocerebellar ataxia 46,"['chicken', 'fresh ginger', 'sesame oil']","['clove garlic', 'mushrooms', 'salt']","['high fiber', 'low cholesterol', 'low sodium']","['high calories', 'low iron']"
Bartholin's gland cancer,"['cornstarch', 'green pepper', 'thighs']","['fat', 'grated cheese', 'ground beef']","['high iron', 'high potassium', 'high protein']","['high carbohydrate', 'high total fats', 'low magnesium']"
pachyonychia congenita,"['parmesan cheese', 'vinegar']","['butter', 'frozen broccoli', 'roll']","['high iron', 'high potassium', 'low calories']","['high sodium', 'low vitamin c']"
keratopathy,"['parmesan cheese', 'tomato halves']","['oregano', 'parsley']","['high potassium', 'high protein']","['high calories', 'high total fats']"
nuclear type mitochondrial complex I deficiency 1,"['lime peel', 'orange juice', 'whipping cream']","['peanut butter', 'sugar']","['high fiber', 'high potassium', 'low cholesterol']","['high carbohydrate', 'low protein']"
medullomyoblastoma,"['italian-style tomatoes', 'pasta']","['lime', 'pepper', 'tomato']","['high potassium', 'high protein', 'low carbohydrate']","['high cholesterol', 'low magnesium']"
acute intermittent porphyria,"['cheddar cheese', 'flour tortillas', 'hamburger']","['clove garlic', 'cornstarch', 'green pepper']","['high iron', 'low calories']","['low fiber', 'low potassium']"
paralytic squint,"['onion', 'white pepper']","['green peppers', 'pepper', 'venison steak']","['high fiber', 'high magnesium', 'low total fats']","['high sodium', 'low protein', 'low vitamin c']"
nuclear type mitochondrial complex I deficiency 24,"['ketchup', 'salt', 'tomato sauce']","['basil', 'eggs', 'water']","['high vitamin c', 'low carbohydrate', 'low sodium']","['high calories', 'high total fats', 'low iron']"
rhabdomyosarcoma,"['cubed cheese', 'eggs', 'miracle']","['pepperoni stick', 'provolone cheese']","['high calcium', 'high magnesium', 'low carbohydrate']","['high cholesterol', 'low vitamin c']"
renal tubular transport disease,"['boiling potatoes', 'chicken broth', 'leeks']","['pork', 'salt']","['high calcium', 'low cholesterol']","['high total fats', 'low fiber', 'low vitamin c']"
progressive myoclonus epilepsy 9,"['coarse grain brown mustard', 'flour']","['cheddar cheese', 'parmesan cheese']","['high calcium', 'high potassium', 'low calories']","['high sodium', 'low protein']"
paraphilia disorder,"['cheddar cheese', 'green pepper', 'macaroni']","['milk', 'oregano', 'potatoes']","['high iron', 'low carbohydrate']","['low potassium', 'low protein']"
anencephaly,"['chicken breasts', 'corn tortillas', 'mozzarella cheese']","['lemon juice', 'mayonnaise']","['high magnesium', 'high potassium']","['high sodium', 'low protein']"
tubocurarine allergy,"['armour dried beef', 'bacon', 'sour cream']","['milk', 'salt']","['high iron', 'high potassium', 'low total fats']","['high cholesterol', 'low vitamin c']"
familial restrictive cardiomyopathy 1,"['italian dressing', 'salmon']","['onion', 'parsley', 'swiss cheese']","['low carbohydrate', 'low cholesterol']","['low fiber', 'low iron', 'low protein']"
